Timestamp,Poor-signal,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-02-15T17:08:55.934584+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.944995+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.955202+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.965457+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.975690+00:00,200,56,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.985913+00:00,200,56,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:56.996068+00:00,200,56,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:57.006192+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:57.016426+00:00,200,55,0,0,8,1,1,1,0,2,0,0
2025-02-15T17:08:57.026568+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.036800+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.047117+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.057396+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.067688+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.077915+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.088142+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.098350+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.108601+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.118920+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.129076+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.139236+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.149444+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.159726+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.170006+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.180306+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.190598+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.200906+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.211040+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.221174+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.231341+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.241567+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.251756+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.261918+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.272143+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.282345+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.292521+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.302753+00:00,200,54,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.313187+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.323565+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.334485+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.347681+00:00,200,53,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.357870+00:00,200,53,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.368101+00:00,200,53,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.378318+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.388519+00:00,200,55,0,0,2,1,2,1,1,1,0,0
2025-02-15T17:08:57.398673+00:00,200,55,0,0,2,1,2,1,1,1,0,0
