Timestamp,Poor-signal,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-02-15T08:36:39.665448+00:00,0,64,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.675973+00:00,0,64,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.686469+00:00,0,64,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.696845+00:00,0,105,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.707371+00:00,0,105,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.717766+00:00,0,37,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.728049+00:00,0,52,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.738415+00:00,0,52,56,13,171843,65598,11423,1412,7368,3431,3670,996
2025-02-15T08:36:40.748744+00:00,0,17,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.759272+00:00,0,17,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.769601+00:00,0,58,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.779927+00:00,0,73,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.790295+00:00,0,100,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.800842+00:00,0,100,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.811165+00:00,0,83,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.821643+00:00,0,83,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.832041+00:00,0,82,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.842393+00:00,0,72,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.852838+00:00,0,72,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.863169+00:00,0,72,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.873470+00:00,0,64,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.883802+00:00,0,64,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.894282+00:00,0,64,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.904572+00:00,0,10,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.914779+00:00,0,10,56,16,817711,26591,4308,9083,1324,7549,5522,2555
2025-02-15T08:36:40.924977+00:00,0,10,56,16,817711,26591,4308,9083,1324,7549,5522,2555
